AS DIRECTED , NEW PATCH ONCE A WEEKFOR 3 WEEKS AND TAKE 1 WEEK OFF|U UTD, APP NEW PATCH Q WEEK FOR 3 WEEKS AND TK 1 WEEK OFF|PTWK|150-20MCG/24HR
TAKE 1 TABLET DAILY.|TK 1 T PO D|TABS|20
TAKE 1 TABLET THREE TIMES A DAY|TK 1 T PO TID|TABS|600
AS NEEDED (PRN); 1-2 PUFFS QID PRN SOB|INL 1 TO 2 PUFFS PO QID PRF SOB|AERS|
USE AS INSTRUCTED PER PACKAGE INSERT|TK 1 T PO ONCE D|TABS|
TAKE 11 CAPSULE TWICE DAILY FOR DIABETIC NEUROPATHY (FOOT PAIN)|TK 11 CS PO BID FOR DIABETIC NEUROPATHY|CAPS|100
INHALE 1 VIAL EVERY 4-6 HOURS PRN COUGH OR WHEEZING|USE 1 VIAL VIA NEBULIZER Q 4 TO 6 H PRF COUGHING OR WHEEZING|NEBU|(2.5 MG/3ML)
INHALE 1 VIAL EVERY 4-6 HOURS PRN COUGH OR WHEEZING|USE 1 VIAL VIA NEBULIZER Q 4 TO 6 H PRF COUGHING OR WHEEZING|NEBU|(2.5 MG/3ML)
USE AS DIRECTED.|U UTD|KIT |
APPLY TO NAIL BID FOR 3-6 MONTHS|APPLY TO NAIL BID FOR 3 TO 6 MONTHS|SOLN|
FOLLOW PACKAGE DIRECTIONS|FPD|TABS|
TAKE 1 TABLET DAILY| TK 1 T PO  D|TABS|75
APPLICATION ON AFFECTED AREA BID|APPLY AA BID|GEL |
INHALE 2 PUFFS AS DIRECTED FOUR TIMES PER DAY.|INHALE 2 PUFFS PO QID UTD|AERS|
TAKE 1 QD ORAL| TK 1 T PO  QD|TABS|25
TAKE 1 QD ORALLY|TK 1 T PO ONCE D|TABS|
TAKE ONE CAPSULE FOUR TIMES A DAY FOR 5 DAYS.| TK ONE C PO  QID FOR 5 DAYS|CAPS|
ONE AT HS X 3 DAYS, THEN TWO AT HS|TK 1 T PO QHS FOR 3 DAYS THEN TK 2 TS PO QHS|TABS|25 mg
USING UP TO 50 UNITSDIALY VIA INSULIN PUMP OR AS DIRECTED|USE UP TO 50 UNITS D VIA INSULIN PUMP OR UTD|SOLN|100 unit/mL
TAKE 1 QAM ORAL|TK 1 T PO QAM|TABS|30
1 APP TOP TID|APPLY TOPICALLY AA TID|CREA|
6.08086E+12|INT 2 DROPS IN AFFECTED EYE BID FOR 5 DAYS|SOLN|Metric Drop(s)
TAKE 1 TABLET (25MG) EVERY DAY|TK 1 T PO QD|TABS|
ONE PILL TWICE A DAY WITH FOOD| TK 1 T PO  BID WF|TABS|
APPLY A THIN LAYER ONCE A DAY AT BEDTIME TO FACE.|APP A THIN LAYER TO FACE QHS|GEL |
APPLY TO ITCHY, RED, SCALY AREAS TWICE A DAY AS NEEDED FOR ECZEMA.|APP TO ICHY, RED, SCALY AREAS BID FOR ECZEMA|CREA|
TAKE 1 TABLET PO WITH ONSET OF MIGRAINE, REPEAT IN 2 HOURS IIF NEEDED, MAXIMUM 2 PER 24 HOURS|TK 1 T PO WITH ONSET OF MIGRAINE, REPEAT IN 2 HOURS IF NEEDED ( MAX OF 2 TS PER 24 HOURS )|TABS|
1 TABLET(S) PO INCREASED DOSE BASED ON LAST LABS.|TAKE 1 TABLET PO DAILY. INCREASED DOSE BASED ON LAST LABS|TABS|
INSERT 1 G TWICE A WEEK BY VAGINAL ROUTE.|INSERT 1 GRAM VAGINALLY QD FOR 5 DAYS THEN USE TWICE WEEKLY UTD|CREA|
0.65 ML BY SUBCUTANEOUS ROUTE ONCE.|INJECT 0.65ML UNDER THE SKIN ONCE|SOLR|
TAKE 1 QD ORALLY|TK 1 T PO ONCE D|TABS|40
ONE PO DAILY| TK 1 T PO  D|TABS|100-25
1 BY MOUTH DAILY| TK ONE C PO  D|CAPS|200
TAKE 1 QD ORAL| TK 1 T PO D|TABS|
AS DIRECTED|MIX AND DRINK UTD|SOLR|420
AAA BID|APP AA BID UTD|OINT|0.25 %
1 BY MOUTH TWICE A DAY FOR 10 DAYS| TK 1 T PO BID FOR 10 DAYS|TABS|875-125
"TAKE 1 QAM ORAL| TK 1 T PO	QAM|TABS|20"
TAKE 7.5 MILLILITER BYORAL ROUTE 2 TIMES EVERY DAY FOR 5 DAYS|SW AND G "HALLIE" 7╜ ML PO BID FOR 5 DAYS, DR|SUSR|
TAKE 2 TABLETS ON DAY 1THEN TAKE 1 TABLET A DAY FOR 4 DAYS.|TK 2 TS PO AT ONCE TODAY, THEN TK 1 T PO ONCE D FOR 4 DAYS|TABS|250
TWO TEASPOONFULS EVERY 12 HOURS FOR 10 DAYS|SW AND G "CASEY" 2 TEASPOONS PO Q 12 HOURS FOR 10 DAYS|SUSR|
TAKE ONE (1) CAPSULE DAILY|G "ISABELLE" 1 C PO QD|CAPS|18 mg
TAKE Z PACK AS DIRECTED (TWO TAB ON THE FIRST DAY, THEN ONE TAB DAILY FOR 4 DAYS|TK 2 TS PO AT ONCE TODAY, THEN TK 1 T PO ONCE D FOR 4 DAYS|TABS|
USE 10 EACH AS DIRECTED DAILY. B-D PEN NDL SHORT 31GX8MM 5/16TH BLUE / USE 10 DAILY|TEST 10 TIMES D|MISC|
APPLY 2 TIMES DAILY TO SKIN|APPLY TOPICALLY TO THE AFFECTED AREA BID|OINT|
APPLY DAILY TO SCALP|APP D TO SCALP|OINT|
APPLY TOPICALLY 2 TIMES A DAY. TO FACE|APP TO FACE BID|GEL |
TWO CAPSULES EVERY 12 HOURS FOR 7 DAYS|TK 2 CS PO Q 12 HOURS FOR 7 DAYS|CAPS|
USE 2 PUFFS 2 (TWO) TIMES DAILY FOR 30 DAYS.|U 2 PUFFS BID|AERO|
TAKE BY ORAL ROUTE.AS DIRECTED|G "GARRETT" 2 TS PO AT ONCE TODAY, THEN G "GARRETT" 1 T PO ONCE D FOR 4 DAYS|TABS|
USE PRN ANAPHYLAXIS|USE PRF ANAPHYLAXIS|DEVI|
1 RING PV X 3 WEEKS|INSERT 1 RING VAGINALLY FOR 3 WEEKS|RING|
TAKE 1 QD ORAL|TK 1 T PO ONCE D|TABS|25
TAKE 1 QD ORAL| TK 1 T PO QD|TABS|20
1 PO QD|TK ONE T PO ONCE D|TABS|
1 PO QD| TK 1 T PO QD|TABS|
USE TWICE DAILY AS DIRECTED|USE BID UTD|STRP|
4 PO QHS|TK 4 TS PO QHS|TABS|
TAKE 1 BY ORAL ROUTE EVERY 4 HOURS PRN| TK 1 T PO  Q 4 HOURS PRN|TABS|
APPLY TO FACE EVERY NIGHT. START USING EVERY OTHER NIGHT FOR SEVERAL WEEKS, THEN INCREASE TO NIGHTLY USE.|APP TO THE FACE QHS UTD. START BY USING EVERY OTHER NIGHT FOR SEVERAL WEEKS THEN INCREASE TO NIGHTLY USE.|CREA|
2 BY MOUTH NOW,THEN 1 BY MOUTH EVERY DAY TIMES 4 ADDITIONAL DAYS|TK 2 TS PO AT ONCE TODAY, THEN TK 1 T PO ONCE D FOR 4 DAYS|TABS|250
6.13735E+12|INHALE 1 PUFF PO Q 4-6 H PRN|AERS|Canister(s)
USE AS A SHAMPOO IN THE SCALP, LATHER, LEAVE IN PLACE FOR 10-15 MINUTES, AND THEN RINSE OFF WITH WATER|USE AS A SHAMPOO IN THE SCALP, LEAVE IN PLACE FOR 10 -15 MINUTES, AND THEN RINSE OFF WITH WATER|SHAM|
APPLY A SMALL AMOUNT TO AFFECTED SKIN TWICE A DAY X 2 WEEKS, ONCE A DAY X 2 WEEKS, EVERY OTHER DAY X 2 WEEKS|APPLY A SMALL AMOUNT TO AFFECTED SKIN TWICE A DAY FOR 2 WEEKS, ONCE A DAY FOR 2 WEEKS, THEN EVERY OTHER DAY FOR 2 WEEKS|OINT|
TAKE ONE TABLET EVERY 12 HOURS UNTIL ALL ARE TAKEN. DO NOT DRINK ALCOHOL DURING THIS TREATMENT!|TK 1 T PO Q 12 H UNTIL ALL ARE TAKEN.  DO NOT DRINK ALCOHOL DURING THIS TREATMENT|TABS|
TAKE 1 TABLET (10 MG TOTAL) BY MOUTH NIGHTLYAS NEEDED FOR MUSCLE SPASMS.| TK 1 T PO  QPM PRN FOR  MUSCLE SPASMS|TABS|
1 TAB DAILY| TK 1 T PO QD|TABS|
TAKE ONE OR TWO CAPSULES TWICE DAILY AS NEEDED|TK 1 OR 2 CS BID PRN|CAPS|
TAKE 1 TAB(S) PRN ORALLY|TK 1 T PO PRN|TABS|20
USE AS DIRECTED. 5 UNITS WITH MEALS PLUS SLIDING SCALE|INJECT 5 UNITS UNDER THE SKIN WITH MEALS PLUS SLIDING SCALE UTD|SOLN|
APPLY TO AFFECTED AREA ON EAR TWICE DAILY X 2 WEEKS, THEN ONCE DAILY X 2 WEEKS|APPLY TO AFFECTED AREA ON EAR BID FOR 2 WEEKS THEN ONCE DAILY FOR 2 WEEKS|OINT|
FOLLOW PACKAGE DIRECTIONS|FOLLOW PACKAGE DIRECTIONS|TABS|
UP TO TWO TABS DAILY|TK UP TO 2 TS PO QD|TABS|
AS DIRECTED , APPLY TO AFFECTED AREA BID AS NEEDED FOR 2 WEEKS.|APPLY TO THE AFFECTED AREA BID PRN FOR 2 WEEKS|OINT|0.1
1 EVERY BEDTIME| TK 1 T PO  QHS|TABS|30
PLACE 4 DROPS INTO THE RIGHTEAR 2 (TWO) TIMES DAILY.|PLACE 4 DROP INTO THE RIGHT EAR BID|SUSP|
APPLY TO AFFECTED AREAS QHS FOR TWO WEEKS, THEN QOD FOR TWO WEEKS|APPLY AA QHS FOR 2 WEEKS THEN QOD FOR 2 WEEKS|OINT|
1 PO BID|TK 1 T PO BID|TABS|
TEST FOUR TIMES DAILY AND AS NEEDED AS DIRECTED|USE TO CHECK BLOOD SUGAR QID PRN UTD|STRP|
APPLY BY TO AFFECED SKIN EVERY TUES AND THURS NIGHT, LEAVE ON OVERNIGH, WASH OUT IN THE MORNING|APPLY TO AFFECTED SKIN EVERY TUES AND THURS NIGHT, LEAVE ON OVERNIGHT, WASH OUT IN THE MORNING|OIL |
3 DAILY FOR 5 DAYS THEN 2 DAILY|TK THREE TS PO QD FOR 5 DAYS, THEN TK TWO TS PO QD|TABS|
TAKE 2 TABS X 1 NOW; THEN 1 TAB Q DAY X 4 DAYS|TK TWO TS PO NOW, THEN TK ONE T PO QD FOR 4 DAYS|TABS|
6.73492E+12|TK ONE T PO TID|TABS|Tablet(s)
APPLY TO ARM AS NEEDED.|APP TOPICALLY TO ARM PRN|CREA|
2 PUFFS BID|INHALE TWO PUFFS PO BID|AERS|80
APPLY TO AFFECTED AREA TWICE DAILY AS NEEDED FORRASH OR ITCHING.|APP TOPICALLY AA D PRF RASH OR ITCHING|CREA|
TAKE 1 BID PO|TK ONE T PO BID|TABS|250
APPLY TINE AMOUNT TO LABIAL ADHESION EACH DAY X 3 WEEKS.|APPLY CREAM TO LABIAL ADHESION QD FOR 3 WEEKS|CREA|0.625
ONE TAB ONCE DAILY|TK 1 T PO ONCE D|TABS|5
APPLY 2 G TOPICALLY 4 TIMES DAILY.|APPLY 2 GRAMS TOPICALLY QID|GEL |
TAKE ONE PO TID FOR 7 DAYS|TK 1 T PO TID FOR 7 DAYS|TABS|1
TAKE AS DIRECTED ONCE A DAY AS NEEDED EXTERNALLY|APPLY EXTERNALLY  UTD ONCE D PRN|OINT|
TAKE 1 OR 2 TABLETS EVERY 4 HOURS AS NEEDED FOR HEADACHE. DO NOT EXCEED 6 TABLETS IN 24 HOURS.|TK 1 TO 2 TS PO Q 4 HOURS PRN FOR HEADACHE. DO NOT EXCEED 6 TS IN 24 HOURS|TABS|50-325-40
T1 PO QD FOR DIABETES|TK 1 T PO QD FOR DIABETES|TABS|100
TAKE 1 TABLET DAILY.|TK 1 T PO D|TABS|10
TAKE ONE BY MOUTH TWICE DAILY|TK 1 T PO BID|TBEC|75
MIX 1 CAPFUL (17GM) IN 8 OUNCES OF WATER, JUICE, OR TEA AND DRINK DAILY.|MIX 1 CAPFUL IN 8 OZ OF WATER,JUICE OR JUICE AND DRINK D|POWD|
TAKE ONE PO QHS FOR PAIN, MOOD AND INSOMNIA|TK 1 T PO QHS FOR PAIN, MOOD, INSOMNIA|TABS|100
ONE BY MOUTH AT BEDTIME OR THREE TIMES A DAY IF TOLERATED|TK 1 T PO HS OR TID IF TOLERATED|TABS|10
TAKE 1 APP 2 TIMES A DAY TO NECK , SCALP APPLIED TOPICALLY|APPLY BID TO NECK AND SCALP|LOTN|
1 (ONE) APPLICATOR, EXTERNAL, AS NEEDED|APPLY TO SCALP EACH EVENING AS NEEDED FOR "CRADLE-CAP" IF USING DAILY TAKE SHORT BREAK|GEL |
TAKE ONE BY MOUTH TWICE DAILY|TK 1 T PO BID|TABS|800-160
2 PILLS TAKEN 1X DAILY FOR 3 CONSECUTIVE DAYS|TK 2 TS PO ONCE D X 3 CONCECUTIVE DAYS|TABS|
TAKE ONE BY MOUTH TWICE DAILY|TK 1 C PO BID|CAPS|500
TAKE ONE BY MOUTH DAILY|TK 1 C PO D|CAPS|0.4
TAKE BY MOUTH ONCE A DAY AT 6 AM.|TK 1 T PO DAILY AT  6AM|TABS|
TAKE 1 TABLET 3 TIMES DAILY AS NEEDED.|TK 1 T PO TID PRN|TABS|10
TAKE 1 CAPSULE(S) 1 TIME A DAY|TK 1 C PO ONCE D|CAPS|
TAKE 1/2 IN AMAT FIRST SIGN OF APPETITE.|TK ONE-HALF T IN THE MORNING AT FIRST SIGN OF APPETITE|TABS|
TAKE 2 TABLETS DAILY WITH BREAKFAST.|TK 2 TS PO D WITH BREAKFAST|TABS|750
1 DROP IN LEFT EYE THREE TIMES ADAY; INSTILL IN EYES|INT 1 OR 2 GTS AEY Q 3 TO 4 H|SUSP|
TAKE ONE TAB DAILY.|TK 1 T PO ONCE D|TABS|20
1 TABLET EVERY 6 HOURS AS NEEDED FOR PAIN OR FEVER| TK 1 T PO  Q 6 H PRF PAIN OR FEVER|TABS|400
1 TAB(S) PO ONCE|TK 1 T PO ONCE|TABS|
USE 1 UNIT DOSE VIA NEBULIZER TWO TIMES A DAY|USE 1 VIAL VIA NEBULIZER BID|SUSP|0.5
1 PO QD|TK 1 T PO ONCE D|TABS|3-0.02
1 TABLET DAILY|TK 1 T PO QD|TABS|
TEST 3TO 4 TIME DAILY; DX: 250.00|TEST 3-4 TIMES DAILY|STRP|
1 QD X 5 DAYS|TK 1 T PO QD FOR 5 DAYS|TABS|
ONE BY MOUTH DAILY| TK ONE C PO D|CAPS|
ONE BY MOUTH TWICE A DAY WITH FOOD FOR TENDAYS| TK 1 T PO  BID WF FOR 10 DAYS|TABS|
APPLY TO SKIN BID PRN FOR DRY SKIN|APPLY TO SKIN BID PRF DRY SKIN|CREA|12
APPLY A SMALL AMOUNT RECTALLY AS DIRECTED|APP A SMALL AMOUNT RECTALLY UTD|CREA|2.5-1%
TEST 1 TIME DAILY|TEST 1 TIME DAILY|STRP|
6.33825E+12| TK 1 T PO  QD FOR 5 DAYS|TABS|Tablet(s)
TWICE A DAY|TK ONE T PO BID|TABS|75
1 PACK BYMOUTH AS DIRECTED|TK 2 TS PO ON DAY 1, THEN 1 T D FOR 4 MORE DAYS|TABS|250 mg
1 PO Q 8 HRS PRNVOMITING|G "SAVANA" 1 T PO Q 8 H PRF VOMITING|TBDP|
1 TABLET BY MOUTH AS DIRECTED; TAKE 1 AT ONSET OF MIGRAINE HEADACHE. MAY REPEAT IN 2 HOURS IF HEADACHE PERSISTS NO MORE THAN 2 IN 24 HOURS|TK 1 T PO AT ONSET OF MIGRAINE HEADACHE, MAY REPEAT IN 2 HOURS IF HEADACHE PERSIST **MAX 2 PER 24 H|TABS|
TAKE 1 TABLET BY ORAL ROUTE ONCE|TK 1 T PO UTD|TABS|
TAKE 1 CAPSULE (50,000 UNITS TOTAL) BYMOUTH ONCE A WEEK.| TK ONE C PO  ONE TIME A WEEK|CAPS|
1 ONCE A DAY PRN|TK 17 GRAM PO QD PRN|POWD|
1-2 TABLETS EVERY 4-6 HOURS AS NEEDED FOR ITCHING|TK 1 TO 2 TS PO  Q 4 TO 6 H PRF ITCHING|TABS|10
APPLY BY TOPICAL ROUTE 2 TIMES EVERY DAY A THIN LAYER TO THE AFFECTED AREA(S)|APPLY A THIN LAYER TO THE AFFECTED AREA(S) BID|OINT|
1 ONCE A DAY PRN|TK 1 T PO D PRN|TABS|
ONCE A DAY|TK 1 T PO D|TABS|20
1-2 DROPS EVERY 4 HOURS X 24 HOURS, THEN QID X 7 DAYS|INSTILL 1 TO 2 DROPS INTO AFFECTED EYE(S) Q 4 H FOR 24 HOURS THEN QID FOR 7 DAYS|SOLN|
APPLY BY TOPICAL ROUTE A SUFFICIENT AMOUNT OF SHAMPOO ONCE ALLOW TO REMAIN ON HAIR FOR 10 MINUTES BEFORE RINSING OFF WITH WATER|APPLY BY TOPICAL ROUTE A SUFFICENT AMOUNT OF SHAMPOO D TO REMAIN ON HAIR FOR 10 MIN BEFORE RINSING OFF WITH WATER|LOTN|
1 QD|TK 1 T PO QD|TABS|75 mcg
1/2 TAB PRN|TK ╜ T PO PRN|TABS|
1 QD|TK 1 T PO QD|TABS|
TAKE TWO TABLET DAILY ON DAYS THREE (3) THROUGH SEVEN (7)|TK 2 TS PO D ON DAYS THREE THROUGH SEVEN|TABS|50
1/2 TO 1 TAB TID PRN N/V|TK ╜ TO 1 T PO TID PRN NV|TABS|
USE AS DIRECTED FOR ALLERGIC REACTIONS|U UTD|DEVI|
TAKE ONE TABLET BY MOUTH NOW, MAY REPEAT IN 2 HOURS IF NEEDED, NOT TO EXCEED 2 PER DAY ORALLY AS DIRECTED|TK 1 T PO AT ONSET OF HA;  MAY REPEAT IN 2 H IF NEEDED NOT TO EXCEED 2 TS PER DAY|TABS|10
1 PO QID|TK 1 T PO QID|TABS|
TAKE 1 DAILY|TK 1 C PO QD|CAPS|5 mg
1 1/2 TSP TWICE PER DAY|SW AND G "TRINITY" 7.5 ML PO BID FOR 10 DAYS; DR|SUSR|400MG/5ML
4 GTTS IN EAR BID|INSTILL 4 DROPS IN AFFECTED EAR(S)  BID FOR 7 DAYS|SOLN|0.2
6.07951E+12|APP 1 PATCH TO SKIN TWICE WEEKLY|PTTW|Patch(es)
TWICE A DAY| TK 1 T PO  BID|TB24|10
"ONCE A DAY| TK ONE C PO	QD|CAPS|10"
1 EVERY BEDTIME , PRN FOR ARM PAIN| TK ONE C PO  QHS PRN FOR ARM PAIN|CAPS|300
1 EVERY BEDTIME|TK ONE T PO QHS|TABS|20
"TWICE A DAY| TK 1 T PO	BID|TABS|50-1000"
TAKE AS DIRECTED|TK UTD|TABS|
1 EVERY BEDTIME|TK 1 T PO  QHS|TABS|10
FOR USE WITH NOVOLOG AND LANTUS PENS UP TO 6 TIMES PER DAY|USE UP TO 6 TIMES PER DAY WITH NOVOLOG AND LANTUS|MISC|
ONCE A DAY|TK 1 T PO ONCE A DAY|TABS|40
AS DIRECTED DAILY ORALLY 30 DAYS|TK ONE C PO D UTD|CAPS|100
TAKE AS DIRECTED ONCE DAILY P.O.|TK UTD|TABS|4
AS DIRECTED , 1-2 TABS TID PRN|TK 1 OR 2 TS PO TID PRN UTD|TABS|50
TAKE 1 TABLET TWICE DAILY WITH MEALS.|TK 1 T PO BID WC|TABS|850
AS NEEDED (PRN); ONE TABLET Q8H PRN|TK 1 T PO Q 8 H PRN|TABS|
1 PO BID|TK 1 T PO BID|TABS|
TWICE A DAY|TK 1 T PO BID|TABS|10
APPLY TO AFFECTED AREA TWICE DAILY|APP TOPICALLY AA BID|OINT|
ONCE DAILY OR AS NEEDED|TK 1 T PO ONCE D OR PRN|TABS|7.5
TAKE 1 TABLET (100MG) BY ORALROUTE EVERY DAY AS NEEDED APPROXIMATELY 1 HOUR BEFORE SEXUAL ACTIVITY|TK 1 T PO ONCE D PRN APPROXIMATELY 1 HOUR B SEXUAL ACTIVITY|TABS|
TAKE 7.5 ML TWICE DAILY|SW AND G "DYAMI" 7.5 ML PO BID FOR 5 DAYS **DISCARD REMAINING PORTION AFTER 5 DAYS**|SUSR|6
2 PUFF(S) 2 TIMES A DAY FOR 30 DAYS|INHALE 2 PUFFS PO  BID FOR 30 DAYS|AERS|
1 TABLET 2 TIMES A DAY FOR 10 DAYS| TK 1 T PO BID FOR 10 DAYS|TABS|
3 TIMES A DAY| TK 1 T PO TID|TABS|
ONCE A DAY| TK 1 T PO ONCE A DAY|TABS|10
2 PUFFS EVERY 4 TO 6 HOURS AS NEEDED FOR WHEEZING|INHALE 2 PUFFS PO Q 4-6 H PRF WHEEZING|AERS|108 (90 Base)
ONE TAB TWO TIMES A DAY|TK 1 T PO BID|TABS|
APPLY EVERY OTHER DAY|APPLY TO AFFECTED AREA QOD|OINT|0.1
TAKE 2 TABLETS ON DAY 1 THEN TAKE 1 TABLET A DAY FOR 4 DAYS.|TK 2 TS PO AT ONCE TODAY, THEN TK 1 T PO ONCE D FOR 4 DAYS|TABS|250
APPLY AND RUB IN A THIN FILM TO AFFECTED AREAS TWICE DAILY.(AM AND PM).|APPLLY AND RUB IN A THIN FILM TO AFFECTED AREAS BID (MORNING AND EVENING)|CREA|1-0.05
USE AS DIRECTED FOR INSULIN INJECTION 5X DAILY|USE AS DIRECTED FOR INSULIN INJECTIONS 5 TIMES PER DAY|MISC|31G X 5 MM
1 TABLET 2 TIMES A DAY FOR 10 DAYS| TK 1 T PO  BID FOR 10 DAYS|TABS|
ONE TABLET WEEKLY|TK 1 T PO WEEKLEY|TABS|70
TAKE AS INSTRUCTED|TAKE AS DIRECTED|TABS|
1 TABLET BY MOUTH AS DIRECTED; ONE TAB AT ONSET OF HA. MAY REPEAT X 1 IN 2 HR PRN|TK 1 T PO AS DIRECTED; TK 1 T PO AT ONSET OF HA. MAY REPEAT ONCE IN 2 H PRN|TABS|
ONE BY MOUTH TWICE DAILY BEFORE MEALS| TK 1 T PO BID BEFORE MEALS|TABS|5
TAKE 2 CAPSULES DAILY.|TK 2 CS PO QD|CP24|150
ONE TAB THREE TIMES A DAY|TK 1 T PO TID|TABS|
TAKE 2 TSP BY MOUTH X 1 DAY, THEN 1 TSP PO DAYS 2-5 (2 TSP = 400 MG) (5 ML = 1 TSP)|SW AND G "KENNEDY" 10ML PO ON DAY 1 THEN 5 ML PO ON DAY 2-5|SUSR|200
USE AS DIRECTED ONCE DAILY|USE UTD ONCE A DAY|MISC|
TAKE 1 CAPSULE TWICE DAILY.| TK ONE C PO BID|CAPS|500
TAKE 1 TABLET TWICE DAILY AS DIRECTED.|TK 1 C PO BID|CAPS|500
USE ONCE OR TWO DAILY FOR GLUCOSE TESTING FOR DM2|USE TO TEST BLOOD SUGAR ONCE OR TWICE DAILY|STRP|
UAD 2X WEEKLY X 2 WKS THEN WEEKLY PRN (MASSAGE INTO WET SCALP, LEAVE ON FOR 2-3 MIN, RINSE.)|USE AS DIRECTED 2 TIMES WEEKLY FOR 2 WEEKS THEN WEEKLY PRN (MASSAGE INTO WET SCALP, LEAVE FOR 2-3 MIN, RINSE)|LOTN|2.5
ONCE A DAY|TK 1 T PO ONCE D|TABS|
ONE TABLET TID| TK 1 T PO TID|TABS|
TAKE 1 TABLET EVERY 12 HOURS DAILY.|TK 1 T PO Q 12 H|TABS|500
ONE TAB TID A.C|DISSOLVE 1 TABLET UNDER THE TONGUE TID AC|SUBL|
APPLY BY TOPICAL ROUTE (THOROUGHLY MASSAGE INTO SKIN FROM HEAD TO SOLES OF FEET) ONCE LEAVE ON FOR 8-14 HR, THEN REMOVE BY THOROUGH WASHING|APPLY FROM HEAD TO SOLES OF FEET THOROUGHLY MASSAGE IN LEAVE ON 8-14 HOURS THEN WASH OFF|CREA|
TAKE 1 TABLET (25MG) BY ORAL ROUTE ATBEDTIME FOR ITCHING| TK 1 T PO QHS FOR ITCHING|TABS|
TAKE 1 TABLET EVENING PRIOR TO SURGERY|TK 1 T PO THE EVENING PRIOR TO SURGERY|TABS|
, 2 NOW AND 2 TOMORROW , THEN 1DAILY FOR 3 DAYS, THEN 1/2 DAILY FOR4 DAYS. TAKE WITH FOOD, FACE MAY FLUSH|TK 2 TS PO NOW AND 2 TS PO TOMORROW, THEN 1 T D FOR 3 DAYS, THEN 1/2 T D FOR 4 DAYS|TABS|4
INHALE 2 PUFFS TWICE DAILY AS NEEDED FOR SHORTNESS OF BREATH|INHALE 2 PUFFS BID PRN FOR SOB|AERS|17
TAKE ONE TABLET WITH EVENING MEAL. DO NOT CRUSH OR CHEW.|TK 1 T PO QD WITH THE EVENING MEAL DO NOT CRUSH OR CHEW|TB24|5-1000
1 BID|TK 1 T PO BID|TABS|60
TAKE AS DIRECTED|TK 2 TS PO AT ONCE TODAY, THEN TK 1 T PO ONCE D FOR 4 DAYS|TABS|250
1 BID PRN FOR ANXIETY|TK 1 T PO BID PRF ANEXITY|TABS|10
1 HS|TK 1 T PO QHS|TABS|20
ONE PO DAILY|CSW 1 T PO ONCE D|CHEW|
TAKE 2 TABLETS ON DAY ONE; THEN, 1 TABLET DAILY FOR 4 DAYS.|TK 2 TS PO AT ONCE TODAY, THEN TK 1 T PO ONCE D FOR 4 DAYS|TABS|
1 TRANSDERMAL PATCH TOPICAL ONCE A DAY|APPLY 1 PATCH TOPICALLY QD|PTCH|
30 UNIT SUB-Q THREE TIMES A DAY|INJECT 30 UNITS UNDER THE SKIN TID|SUSP|
6.08293E+12|TK 1 T PO QHS PRN FOR NECK STIFFNESS|TABS|Tablet(s)
30 UNIT SUB-Q ONCE A DAY|INJECT 30 UNITS UNDER THE SKIN ONCE DAILY|SOLN|
ONE PO TID|TK 1 C PO TID|CAPS|
6.62676E+12| TK 1 T PO  BID|TABS|Tablet(s)
ONE PO QHS|TK 1 T PO QHS|TABS|
6.75112E+12|TK 1 T PO ONCE D|TABS|Tablet(s)
1 TRANSDERMAL PATCH TOPICALLY ONCEA WEEK AS DIRECTED|APP 1 PATCH ONCE A WEEK UTD|PTWK|
APPLY TO EYES TID|UTD|SOLN|
ONE PO BID FOR 10 DAYS| TK 1 T PO  BID X 10 DAYS|TABS|
WEAR BY ON FOOT ROUTE EVERY DAY|WEAR ON FOOT ROUTE QD|MISC|
TAKE 1 TABLET DAILY.|TK 1 T PO QD|TABS|10
1 EVERY 6 HOURS PRN|TK 1 TEA PO Q 6 H PRN|SOLN|
USE ONE TIME PER DAY TO INJECT INSULIN.|USE AS DIRECTED QD WITH INSULIN|MISC|
CHECK BLOOD SUGAR BY WITH LANCET ROUTE 3- 4 TIMES EVERY|TEST BLOOD SUGAR 3 TO 4 TIMES QD|KIT |
INJECT 30 BY SUBCUTANEOUS ROUTE EVERY BEDTIME|USE 30 UNITS SUBCUTANEOUS ROUTE QHS|SOLN|
CHECK BLOOD SUGAR BY WITH LANCET ROUTE 2 TIMES EVERY DAY|TEST BLOOD SUGAR 3 TO 4 TIMES DAILY|MISC|
TAKE 2 TABS TODAY, THEN 1 TAB DAILY UNTIL COMPLETE|TK 2 TS PO AT ONCE TODAY, THEN TK 1 T PO ONCE D FOR 4 DAYS|TABS|
3/4 TSP PO DAY ONE THEN 2/3 TSP PO DAYS 2-5|SW AND G "ADEN" 3/4 TEA PO DAY 1, THEN 2/3 TEA PO DAYS 2 THRU 5. DR|SUSR|
6.03045E+12|TK 1 C PO D BEFORE A MEAL|CPDR|Capsule(s)
2 TABLETS 3 TIMES A DAY AS NEEDED FOR MUSCLE SPASM|TK 2 TS PO TID PRF MUSCLE SPASM|TABS|
6.24266E+12| TK 1 T PO  PO BID PO WITH MEALS FOR 30 DAYS|TABS|Tablet(s)
TAKE 5MCG ALONG WITH LEVOTHYROXINE DAILY.| TK 1 T PO D WITH LEVOTHYROXINE|TABS|
